Franka_joint1,Franka_joint2,Franka_joint3,Franka_joint4,Franka_joint5,Franka_joint6,Franka_joint7,error
1,0.366522,0.390013,1.07944,-1.51642,0.0440412,1.40996,0.0137506,1.25214
2,0.031205,0.222019,1.43221,-1.57808,0.184365,1.49087,0.0946153,0.516475
3,0.0295069,0.222461,1.43112,-1.57254,0.186965,1.49866,0.0887125,0.514852
4,0.00863464,0.228921,1.41525,-1.5,0.22019,1.51062,0.100688,0.503147
5,-0.0483389,0.173818,1.49571,-1.54123,0.22519,1.48781,0.0778704,0.126948
6,-0.0452885,0.1945,1.50043,-1.53411,0.243875,1.50269,0.0927505,0.117991
7,-0.0586595,0.1632,1.50366,-1.54505,0.224865,1.49673,0.0867868,0.0700096
8,-0.0618513,0.158508,1.50274,-1.54022,0.219787,1.49459,0.0846534,0.0677014
9,-0.0633497,0.153592,1.50116,-1.54002,0.214654,1.49658,0.0866381,0.0670128
10,-0.0650921,0.149284,1.49952,-1.53812,0.209248,1.49673,0.0867868,0.0664219
11,-0.0666347,0.144786,1.4979,-1.53708,0.204063,1.49756,0.0876216,0.0658569
12,-0.0682458,0.14046,1.49634,-1.5358,0.198869,1.49803,0.0880913,0.0653073
13,-0.0698082,0.13613,1.49481,-1.53475,0.19378,1.49858,0.0886441,0.0647706
14,-0.0713754,0.131874,1.49332,-1.53371,0.18874,1.49903,0.0890932,0.0642458
15,-0.0729237,0.127655,1.49187,-1.53277,0.183771,1.49946,0.0895216,0.0637322
16,-0.0744635,0.123488,1.49046,-1.53189,0.178861,1.49984,0.089897,0.0632292
17,-0.074081,0.120605,1.49005,-1.53105,0.176478,1.50026,0.0903219,0.063029
18,-0.0759903,0.119365,1.48908,-1.53109,0.174013,1.50018,0.0902363,0.0627362
19,-0.0775061,0.115288,1.48773,-1.53034,0.169224,1.50048,0.0905354,0.0622528
20,-0.0790099,0.111254,1.4864,-1.52966,0.164492,1.50074,0.0907988,0.0617784
21,-0.0805022,0.107264,1.48511,-1.52903,0.159817,1.50097,0.0910274,0.0613127
22,-0.0819829,0.103316,1.48384,-1.52846,0.155197,1.50117,0.0912233,0.0608552
23,-0.0834519,0.0994094,1.4826,-1.52794,0.150631,1.50133,0.0913881,0.0604057
24,-0.0849093,0.0955441,1.48138,-1.52747,0.146118,1.50147,0.0915236,0.0599637
25,-0.0863551,0.091719,1.48018,-1.52704,0.141656,1.50158,0.0916314,0.0595291
26,-0.0877893,0.0879336,1.479,-1.52666,0.137246,1.50166,0.0917128,0.0591015
27,-0.0892119,0.0841872,1.47784,-1.52632,0.132885,1.50172,0.0917696,0.0586807
28,-0.0906229,0.0804794,1.4767,-1.52601,0.128574,1.50175,0.0918029,0.0582664
29,-0.0920223,0.0768096,1.47558,-1.52574,0.124311,1.50176,0.0918143,0.0578586
30,-0.0934102,0.0731773,1.47447,-1.52551,0.120096,1.50176,0.0918049,0.0574569
31,-0.0947866,0.069582,1.47338,-1.5253,0.115927,1.50173,0.0917761,0.0570612
32,-0.0961514,0.0660234,1.47231,-1.52513,0.111805,1.50168,0.0917289,0.0566714
33,-0.0975047,0.062501,1.47124,-1.52498,0.107728,1.50162,0.0916646,0.0562874
34,-0.0988465,0.0590145,1.4702,-1.52486,0.103696,1.50154,0.0915843,0.0559089
35,-0.100177,0.0555635,1.46916,-1.52476,0.0997084,1.50144,0.0914889,0.055536
36,-0.101496,0.0521476,1.46814,-1.52469,0.0957647,1.50134,0.0913795,0.0551684
37,-0.102803,0.0487666,1.46713,-1.52463,0.0918643,1.50122,0.0912571,0.0548062
38,-0.104099,0.0454201,1.46613,-1.52459,0.0880067,1.50108,0.0911225,0.0544492
39,-0.105384,0.0421079,1.46514,-1.52458,0.0841915,1.50094,0.0909766,0.0540973
40,-0.106657,0.0388297,1.46416,-1.52457,0.0804181,1.50078,0.0908203,0.0537505
41,-0.107919,0.0355851,1.46319,-1.52458,0.0766862,1.50062,0.0906545,0.0534088
42,-0.10917,0.0323741,1.46224,-1.52461,0.0729954,1.50044,0.0904797,0.053072
43,-0.110409,0.0291962,1.46129,-1.52465,0.0693453,1.50026,0.0902968,0.0527401
44,-0.111638,0.0260513,1.46035,-1.52469,0.0657354,1.50007,0.0901065,0.0524131
45,-0.112855,0.0229392,1.45942,-1.52475,0.0621654,1.49988,0.0899094,0.0520909
46,-0.11406,0.0198597,1.4585,-1.52482,0.058635,1.49968,0.0897062,0.0517734
47,-0.115255,0.0168125,1.45758,-1.52489,0.0551438,1.49947,0.0894976,0.0514607
48,-0.115248,0.0167853,1.45758,-1.52509,0.0551448,1.49946,0.0894845,0.0514602
49,-0.116439,0.0137975,1.45668,-1.52498,0.0516915,1.49926,0.089284,0.0511528
50,-0.117611,0.0108143,1.45578,-1.52506,0.0482777,1.49904,0.0890661,0.0508495
51,-0.118773,0.00786299,1.45489,-1.52515,0.0449022,1.49882,0.0888443,0.0505508
52,-0.119923,0.00494317,1.45401,-1.52525,0.0415647,1.4986,0.0886192,0.0502567
53,-0.121063,0.00205474,1.45313,-1.52535,0.0382647,1.49837,0.0883912,0.0499673
